sample_id,speaker_id,reference_raw,small_epoch1_prediction_raw,small_epoch1_prediction_wer,small_epoch1_wer,small_epoch1_cer,small_epoch1_keyword_accuracy,small_epoch1_filler_accuracy,audio_duration_sec,small_epoch1_latency_sec,small_epoch1_rtf,small_epoch1_exact,large_prediction_raw,large_prediction_wer,large_wer,large_cer,large_exact,large_keyword_accuracy,large_filler_accuracy,large_latency_sec,large_rtf
H_F01,H,"아, 잠깐만. 이거 내가 잘못 본 건가?",아 잠깐만 이거 내가 잘못 본건가?,아 잠깐만 이거 내가 잘못 본건가,0.2857142857142857,0.0,0.0,1.0,4.12,0.6865416780001397,0.1666363296116843,False,아... 아... 잠깐만 이거 내가 잘못 본 건가?,아 아 잠깐만 이거 내가 잘못 본 건가,0.14285714285714285,0.07692307692307693,False,0.0,1.0,0.7341003000001365,0.17817968446605253
H_F02,H,하... 십 분째 여기서 막혀 있어요.,10분째 여기서 막혀있어요.,10분째 여기서 막혀있어요,0.8333333333333334,0.1666666666666666,0.5,0.0,2.98,0.6285214119998273,0.2109132255032977,False,하... 십 분째 여기서 막혀 있어요.,하 십 분째 여기서 막혀 있어요,0.0,0.0,True,1.0,1.0,0.2379533999992418,0.0798501342279335
H_F03,H,"어... 아까 받은 힌트, 한 번만 다시 말해줄래요?","어, 아까 받은 힌트, 한 번만 다시 말해줄래요?",어 아까 받은 힌트 한 번만 다시 말해줄래요,0.0,0.0,1.0,1.0,5.05,1.1212760720000006,0.2220348657425744,True,어... 아까 받은 힌트 한 번만 다시 말해 줄래요?,어 아까 받은 힌트 한 번만 다시 말해 줄래요,0.25,0.0,False,1.0,1.0,0.33221360000061395,0.06578487128725029
H_F04,H,"아니, 아니. 서랍 말고 그 옆에 있는 자물쇠요.","아니아니, 서랍 말고 그 옆에 있는 자물쇠요.",아니아니 서랍 말고 그 옆에 있는 자물쇠요,0.25,0.0,1.0,0.0,4.42,0.9374745590002932,0.2120983165159034,False,"아니, 아니, 서랍 말고 그 옆에 있는 자물쇠요.",아니 아니 서랍 말고 그 옆에 있는 자물쇠요,0.0,0.0,True,1.0,1.0,0.30515360000026703,0.06903927601815997
H_F05,H,"음... 숫자가 삼이었나, 팔이었나 잘 모르겠어요.","음, 숫자가 3이었나 8이었나 잘 모르겠어요.",음 숫자가 3이었나 8이었나 잘 모르겠어요,0.3333333333333333,0.1111111111111111,0.3333333333333333,1.0,5.06,0.4670316759993511,0.0922987501975002,False,음... 숫자가 삼이었나 팔이었나 잘 모르겠어요.,음 숫자가 삼이었나 팔이었나 잘 모르겠어요,0.0,0.0,True,1.0,1.0,0.2636461000001873,0.05210397233205283
H_F06,H,힌트 한 번만 더 주세요.,힌트 한번만 더 주세요.,힌트 한번만 더 주세요,0.4,0.0,1.0,,2.08,0.3748808339996685,0.1802311701921483,False,힌트 한 번만 더 주세요.,힌트 한 번만 더 주세요,0.0,0.0,True,1.0,,0.2336857999998756,0.1123489423076325
H_F07,H,"이거 계속 안 열리는데, 혹시 고장난 건가요?",이거 계속 안 열리는데 혹시 고장난건가요?,이거 계속 안 열리는데 혹시 고장난건가요,0.2857142857142857,0.0,1.0,,4.19,0.4921575590005886,0.1174600379476345,False,이거 계속 안 열리는데 혹시 고장난 건가요?,이거 계속 안 열리는데 혹시 고장난 건가요,0.0,0.0,True,1.0,,0.26685969999925874,0.0636896658709448
H_F08,H,직원 한 번만 불러주세요.,직원 한 번만 불러주세요.,직원 한 번만 불러주세요,0.0,0.0,1.0,,2.57,0.3382391710001684,0.1316105723736064,True,직원 한 번만 불러주세요.,직원 한 번만 불러주세요,0.0,0.0,True,1.0,,0.21878400000059628,0.08512996108972619
H_F09,H,"정답 말고, 조금만 더 자세하게 알려주세요.",정답 말고 조금만 더 자세하게 알려주세요.,정답 말고 조금만 더 자세하게 알려주세요,0.0,0.0,1.0,,3.67,0.4021689709998099,0.1095828258855068,True,정답 말고 조금만 더 자세하게 알려주세요.,정답 말고 조금만 더 자세하게 알려주세요,0.0,0.0,True,1.0,,0.2750607999987551,0.07494844686614581
H_F10,H,액자 뒤에 있는 작은 소품을 보는 게 맞아요?,액자 뒤에 있는 작은 소품을 보는 게 맞아요?,액자 뒤에 있는 작은 소품을 보는 게 맞아요,0.0,0.0,1.0,,4.559,0.3841924000007566,0.0842711998246888,True,액자 뒤에 있는 작은 소품을 보는 게 맞아요?,액자 뒤에 있는 작은 소품을 보는 게 맞아요,0.0,0.0,True,1.0,,0.25335269999959564,0.0555719894712866
A_F01,A,"아, 잠깐만. 이거 내가 잘못 본 건가?",잠깐만 이거 내가 잘못 본 건가?,잠깐만 이거 내가 잘못 본 건가,0.1428571428571428,0.0769230769230769,0.0,0.5,4.261,0.3231637380004031,0.0758422290543072,False,하... 아... 잠깐만... 이거 내가 잘못 본 건가?,하 아 잠깐만 이거 내가 잘못 본 건가,0.14285714285714285,0.07692307692307693,False,0.0,1.0,0.2566803000008804,0.06023945083334437
A_F02,A,하... 십 분째 여기서 막혀 있어요.,10분째 여기서 막혀있어요.,10분째 여기서 막혀있어요,0.8333333333333334,0.1666666666666666,0.5,0.0,3.3,0.3323676609998074,0.1007174730302446,False,하... 십 분째 여기서 막혀 있어요.,하 십 분째 여기서 막혀 있어요,0.0,0.0,True,1.0,1.0,0.25324729999920237,0.07674160606036436
A_F03,A,"어... 아까 받은 힌트, 한 번만 다시 말해줄래요?",아까 받은 힌트 한 번만 다시 말해줄래요?,아까 받은 힌트 한 번만 다시 말해줄래요,0.125,0.0588235294117647,1.0,0.0,4.89,0.4338178860007247,0.0887153141105776,False,어... 아까 받은 힌트 한 번만 다시 말해 줄래요?,어 아까 받은 힌트 한 번만 다시 말해 줄래요,0.25,0.0,False,1.0,1.0,0.2958228000006784,0.06049546012283812
A_F04,A,"아니, 아니. 서랍 말고 그 옆에 있는 자물쇠요.","아니아니, 서랍 말고 그 옆에 있는 자물쇠요.",아니아니 서랍 말고 그 옆에 있는 자물쇠요,0.25,0.0,1.0,0.0,4.559,0.4818725249997442,0.1056969785040018,False,"아니, 아니, 서랍 말고 그 옆에 있는 자물쇠요.",아니 아니 서랍 말고 그 옆에 있는 자물쇠요,0.0,0.0,True,1.0,1.0,0.3049551000003703,0.06689078745347012
A_F05,A,"음... 숫자가 삼이었나, 팔이었나 잘 모르겠어요.","음, 숫자가 3이었나 8이었나 잘 모르겠어요.",음 숫자가 3이었나 8이었나 잘 모르겠어요,0.3333333333333333,0.1111111111111111,0.3333333333333333,1.0,4.751,0.4211790750005093,0.0886506156599682,False,음... 숫자가 3이었나 8이었나 잘 모르겠어요.,음 숫자가 3이었나 8이었나 잘 모르겠어요,0.3333333333333333,0.1111111111111111,False,0.3333333333333333,1.0,0.2755053999990196,0.05798892864639435
A_F06,A,힌트 한 번만 더 주세요.,힌트 한 번만 더 주세요.,힌트 한 번만 더 주세요,0.0,0.0,1.0,,2.51,0.3358082249997096,0.1337881374500835,True,힌트 한 번만 더 주세요.,힌트 한 번만 더 주세요,0.0,0.0,True,1.0,,0.23234929999853193,0.09256944223049082
A_F07,A,"이거 계속 안 열리는데, 혹시 고장난 건가요?","이거 계속 안 열리는데, 혹시 고장난건가요?",이거 계속 안 열리는데 혹시 고장난건가요,0.2857142857142857,0.0,1.0,,4.58,0.4011296079997919,0.0875828838427493,False,이거 계속 안 열리는데 혹시 고장난 건가요?,이거 계속 안 열리는데 혹시 고장난 건가요,0.0,0.0,True,1.0,,0.2805179000006319,0.06124844978179736
A_F08,A,직원 한 번만 불러주세요.,직원 한 번만 불러주세요.,직원 한 번만 불러주세요,0.0,0.0,1.0,,2.7,0.3330964119995769,0.1233690414813247,True,직원 한 번만 불러주세요.,직원 한 번만 불러주세요,0.0,0.0,True,1.0,,0.2234664999996312,0.08276537037023377
A_F09,A,"정답 말고, 조금만 더 자세하게 알려주세요.",정답 말고 조금만 더 자세하게 알려주세요.,정답 말고 조금만 더 자세하게 알려주세요,0.0,0.0,1.0,,3.69,0.400245664999602,0.108467659891491,True,정답 말고 조금만 더 자세하게 알려주세요.,정답 말고 조금만 더 자세하게 알려주세요,0.0,0.0,True,1.0,,0.26291350000064995,0.07125027100288617
A_F10,A,액자 뒤에 있는 작은 소품을 보는 게 맞아요?,액자 뒤에 있는 작은 소품을 보는 게 맞아요?,액자 뒤에 있는 작은 소품을 보는 게 맞아요,0.0,0.0,1.0,,4.88,0.3886006230004568,0.0796312752050116,True,액자 뒤에 있는 작은 소품을 보는 게 맞아요?,액자 뒤에 있는 작은 소품을 보는 게 맞아요,0.0,0.0,True,1.0,,0.26900149999892164,0.05512325819650034
M_F01,M,"아, 잠깐만. 이거 내가 잘못 본 건가?",아 잠깐만 이거 내가 잘못 본 건가?,아 잠깐만 이거 내가 잘못 본 건가,0.0,0.0,0.0,1.0,4.65,0.3343940740005564,0.0719127040861411,True,"아, 잠깐만. 이거 내가 잘못 본 건가?",아 잠깐만 이거 내가 잘못 본 건가,0.0,0.0,True,0.0,1.0,0.25672380000105477,0.055209419355065535
M_F02,M,하... 십 분째 여기서 막혀 있어요.,10분째 여기서 막혀있어요.,10분째 여기서 막혀있어요,0.8333333333333334,0.1666666666666666,0.5,0.0,3.34,0.3322717920000286,0.0994825724550984,False,하... 십 분째 여기서 막혀 있어요.,하 십 분째 여기서 막혀 있어요,0.0,0.0,True,1.0,1.0,0.2735708000000159,0.08190742514970535
M_F03,M,"어... 아까 받은 힌트, 한 번만 다시 말해줄래요?","어, 아까 받은 힌트 한 번만 다시 말해줄래요?",어 아까 받은 힌트 한 번만 다시 말해줄래요,0.0,0.0,1.0,1.0,5.47,0.4627202369993028,0.0845923650821394,True,어... 아까 받은 힌트 한 번만 다시 말해 줄래요?,어 아까 받은 힌트 한 번만 다시 말해 줄래요,0.25,0.0,False,1.0,1.0,0.32052160000057484,0.0585962705668327
M_F04,M,"아니, 아니. 서랍 말고 그 옆에 있는 자물쇠요.","아니아니, 서랍 말고 그 옆에 있는 자물쇠요.",아니아니 서랍 말고 그 옆에 있는 자물쇠요,0.25,0.0,1.0,0.0,4.59,0.4702558819999467,0.1024522618736267,False,"아니, 아니, 서랍 말고 그 옆에 있는 자물쇠요.",아니 아니 서랍 말고 그 옆에 있는 자물쇠요,0.0,0.0,True,1.0,1.0,0.3047972000003938,0.06640461873646923
M_F05,M,"음... 숫자가 삼이었나, 팔이었나 잘 모르겠어요.","음, 숫자가 3이었나 8이었나 잘 모르겠어요.",음 숫자가 3이었나 8이었나 잘 모르겠어요,0.3333333333333333,0.1111111111111111,0.3333333333333333,1.0,4.83,0.4183674599998994,0.0866185217391096,False,음... 숫자가 3이었나 8이었나 잘 모르겠어요.,음 숫자가 3이었나 8이었나 잘 모르겠어요,0.3333333333333333,0.1111111111111111,False,0.3333333333333333,1.0,0.2686468000010791,0.055620455486765856
M_F06,M,힌트 한 번만 더 주세요.,힌트 한 번만 더 주세요.,힌트 한 번만 더 주세요,0.0,0.0,1.0,,2.52,0.338013931000205,0.1341325123016686,True,힌트 한 번만 더 주세요.,힌트 한 번만 더 주세요,0.0,0.0,True,1.0,,0.22786839999935182,0.09042396825371105
M_F07,M,"이거 계속 안 열리는데, 혹시 고장난 건가요?",이거 계속 안 열리는데 혹시 고장난건가요?,이거 계속 안 열리는데 혹시 고장난건가요,0.2857142857142857,0.0,1.0,,4.73,0.3898746140002913,0.082425922621626,False,이거 계속 안 열리는데 혹시 고장난 건가요?,이거 계속 안 열리는데 혹시 고장난 건가요,0.0,0.0,True,1.0,,0.27183139999942796,0.05746964059184523
M_F08,M,직원 한 번만 불러주세요.,직원 한 번만 불러주세요.,직원 한 번만 불러주세요,0.0,0.0,1.0,,2.66,0.3341341320001447,0.1256143353384002,True,직원 한 번만 불러주세요.,직원 한 번만 불러주세요,0.0,0.0,True,1.0,,0.21976739999990968,0.08261932330823672
M_F09,M,"정답 말고, 조금만 더 자세하게 알려주세요.",정답 말고 조금만 더 자세하게 알려주세요.,정답 말고 조금만 더 자세하게 알려주세요,0.0,0.0,1.0,,4.02,0.3889605270005631,0.0967563500001401,True,정답 말고 조금만 더 자세하게 알려주세요.,정답 말고 조금만 더 자세하게 알려주세요,0.0,0.0,True,1.0,,0.24971220000043104,0.062117462686674396
M_F10,M,액자 뒤에 있는 작은 소품을 보는 게 맞아요?,액자 뒤에 있는 작은 소품을 보는 게 맞아요?,액자 뒤에 있는 작은 소품을 보는 게 맞아요,0.0,0.0,1.0,,3.358,0.3929977329999019,0.1170332736747772,True,액자 뒤에 있는 작은 소품을 보는 게 맞아요?,액자 뒤에 있는 작은 소품을 보는 게 맞아요,0.0,0.0,True,1.0,,0.2541796000004979,0.07569374627769443
