run_id,model_name,model_id,question_id,category,flow,status,finish_reason,json_valid,schema_valid,schema_errors,route,route_match,intent,emotion,needs_clarification,direct_answer_request,frustration_high,emotion_override_qualified,emotion_override_match,signal_checked,signal_correct,signal_pass,model_case_pass,expected_skill_rule,derived_skill_rule,skill_rule_match,skill_policy_reason,skill_policy_pass,derived_hint_strength,expected_hint_strength,skill_strength_checked,skill_strength_match,guard_matched,guard_action,guard_forced_route,guard_skip_llm_service,effective_route,effective_route_match,policy_tools,policy_tool_reason,expected_tools,tool_registry_ok,tool_registry_missing,tool_policy_pass,service_case_pass,prompt_tokens,cached_prompt_tokens,uncached_prompt_tokens,completion_tokens,reasoning_tokens,visible_completion_tokens,total_tokens,completion_usage_ratio,completion_limit_hit,latency_ms,raw_response,parsed_json,error_type,error_message
20260920_210538,gpt_5_4_mini_test,gpt-5.4-mini-2026-03-17,201,normal,HINT_DECISION,OK,stop,True,True,[],HINT_DECISION,1,HINT,LOW,False,False,False,False,1,3,3,1,1,BASE_RULE_DEFAULT,BASE_RULE_DEFAULT,1,오버라이드 없음 → 기본 약한 힌트,1,weak,weak,1,1,0,CONTINUE,,0,HINT_DECISION,1,"[""get_puzzle_context"",""get_approved_hint""]","힌트 경로: 현재 퍼즐 + 승인 힌트, 필요한 경우에만 힌트 이력","[""get_puzzle_context"",""get_approved_hint""]",1,[],1,1,1817,0,1817,47,0,47,1864,0.0723,0,1701.76,"{""route"":""HINT_DECISION"",""intent"":""HINT"",""emotion"":""LOW"",""needs_clarification"":false,""direct_answer_request"":false,""frustration_high"":false,""emotion_override_qualified"":false}","{""direct_answer_request"":false,""emotion"":""LOW"",""emotion_override_qualified"":false,""frustration_high"":false,""intent"":""HINT"",""needs_clarification"":false,""route"":""HINT_DECISION""}",,
20260920_210538,gpt_5_4_mini_test,gpt-5.4-mini-2026-03-17,202,normal,HINT_DECISION,OK,stop,True,True,[],ANSWER_EXPOSURE_BYPASS,0,HINT,MEDIUM,False,True,False,False,1,3,3,1,0,ANSWER_REQUEST,ANSWER_REQUEST,1,현재 문제 정답 직접 요구 → 승인된 강한 힌트 경로,1,strong,strong,1,1,0,CONTINUE,,0,ANSWER_EXPOSURE_BYPASS,0,"[""get_puzzle_context"",""get_approved_hint""]",현재 문제 직접 정답 요구는 승인 힌트 경로로 제한,"[""get_puzzle_context"",""get_approved_hint""]",1,[],1,0,1802,1280,522,51,0,51,1853,0.0785,0,963.39,"{""route"":""ANSWER_EXPOSURE_BYPASS"",""intent"":""HINT"",""emotion"":""MEDIUM"",""needs_clarification"":false,""direct_answer_request"":true,""frustration_high"":false,""emotion_override_qualified"":false}","{""direct_answer_request"":true,""emotion"":""MEDIUM"",""emotion_override_qualified"":false,""frustration_high"":false,""intent"":""HINT"",""needs_clarification"":false,""route"":""ANSWER_EXPOSURE_BYPASS""}",,
20260920_210538,gpt_5_4_mini_test,gpt-5.4-mini-2026-03-17,211,normal,INPUT_LOCATION,OK,stop,True,True,[],INPUT_LOCATION,1,HINT,LOW,False,False,False,False,1,3,3,1,1,NONE,NONE,1,힌트 강도 정책 비적용 route,1,,,0,1,0,CONTINUE,,0,INPUT_LOCATION,1,"[""get_puzzle_context""]",현재 퍼즐 맥락 조회,"[""get_puzzle_context""]",1,[],1,1,1790,1280,510,45,0,45,1835,0.0692,0,1023.92,"{""route"":""INPUT_LOCATION"",""intent"":""HINT"",""emotion"":""LOW"",""needs_clarification"":false,""direct_answer_request"":false,""frustration_high"":false,""emotion_override_qualified"":false}","{""direct_answer_request"":false,""emotion"":""LOW"",""emotion_override_qualified"":false,""frustration_high"":false,""intent"":""HINT"",""needs_clarification"":false,""route"":""INPUT_LOCATION""}",,
20260920_210538,gpt_5_4_mini_test,gpt-5.4-mini-2026-03-17,213,normal,EQUIPMENT_USAGE,OK,stop,True,True,[],EQUIPMENT_USAGE,1,UNCLEAR,LOW,False,False,False,False,1,3,3,1,1,NONE,NONE,1,힌트 강도 정책 비적용 route,1,,,0,1,0,CONTINUE,,0,EQUIPMENT_USAGE,1,"[""get_puzzle_context""]",현재 퍼즐 맥락 조회,"[""get_puzzle_context""]",1,[],1,1,1797,1280,517,47,0,47,1844,0.0723,0,1008.68,"{""route"":""EQUIPMENT_USAGE"",""intent"":""UNCLEAR"",""emotion"":""LOW"",""needs_clarification"":false,""direct_answer_request"":false,""frustration_high"":false,""emotion_override_qualified"":false}","{""direct_answer_request"":false,""emotion"":""LOW"",""emotion_override_qualified"":false,""frustration_high"":false,""intent"":""UNCLEAR"",""needs_clarification"":false,""route"":""EQUIPMENT_USAGE""}",,
20260920_210538,gpt_5_4_mini_test,gpt-5.4-mini-2026-03-17,216,normal,MASTER_REQUEST,OK,stop,True,True,[],MASTER_REQUEST,1,MASTER_REQUEST,LOW,False,False,False,False,1,3,3,1,1,NONE,NONE,1,힌트 강도 정책 비적용 route,1,,,0,1,0,CONTINUE,,0,MASTER_REQUEST,1,"[""request_game_master""]",명시적 직원 호출,"[""request_game_master""]",1,[],1,1,1784,1280,504,45,0,45,1829,0.0692,0,1346.07,"{""route"":""MASTER_REQUEST"",""intent"":""MASTER_REQUEST"",""emotion"":""LOW"",""needs_clarification"":false,""direct_answer_request"":false,""frustration_high"":false,""emotion_override_qualified"":false}","{""direct_answer_request"":false,""emotion"":""LOW"",""emotion_override_qualified"":false,""frustration_high"":false,""intent"":""MASTER_REQUEST"",""needs_clarification"":false,""route"":""MASTER_REQUEST""}",,
20260920_210538,gpt_5_4_mini_test,gpt-5.4-mini-2026-03-17,218,boundary,HINT_DECISION,OK,stop,True,True,[],HINT_DECISION,1,HINT,LOW,False,False,False,False,1,3,3,1,1,BASE_RULE_TIME_AND_PROGRESS,BASE_RULE_TIME_AND_PROGRESS,1,남은시간<=15분 AND 남은문제비율>=50%,1,strong,strong,1,1,0,CONTINUE,,0,HINT_DECISION,1,"[""get_puzzle_context"",""get_approved_hint""]","힌트 경로: 현재 퍼즐 + 승인 힌트, 필요한 경우에만 힌트 이력","[""get_puzzle_context"",""get_approved_hint""]",1,[],1,1,1796,1280,516,47,0,47,1843,0.0723,0,1129.33,"{""route"":""HINT_DECISION"",""intent"":""HINT"",""emotion"":""LOW"",""needs_clarification"":false,""direct_answer_request"":false,""frustration_high"":false,""emotion_override_qualified"":false}","{""direct_answer_request"":false,""emotion"":""LOW"",""emotion_override_qualified"":false,""frustration_high"":false,""intent"":""HINT"",""needs_clarification"":false,""route"":""HINT_DECISION""}",,
20260920_210538,gpt_5_4_mini_test,gpt-5.4-mini-2026-03-17,221,boundary,HINT_DECISION,OK,stop,True,True,[],HINT_DECISION,1,HINT,MEDIUM,False,False,False,False,1,3,3,1,1,RE_REQUEST_OVERRIDE,RE_REQUEST_OVERRIDE,1,같은 문제 약한 힌트 직후 재요청 → 강한 힌트 승격,1,strong,strong,1,1,0,CONTINUE,,0,HINT_DECISION,1,"[""get_hint_history"",""get_puzzle_context"",""get_approved_hint""]","힌트 경로: 현재 퍼즐 + 승인 힌트, 필요한 경우에만 힌트 이력","[""get_hint_history"",""get_puzzle_context"",""get_approved_hint""]",1,[],1,1,1833,1280,553,48,0,48,1881,0.0738,0,1059.13,"{""route"":""HINT_DECISION"",""intent"":""HINT"",""emotion"":""MEDIUM"",""needs_clarification"":false,""direct_answer_request"":false,""frustration_high"":false,""emotion_override_qualified"":false}","{""direct_answer_request"":false,""emotion"":""MEDIUM"",""emotion_override_qualified"":false,""frustration_high"":false,""intent"":""HINT"",""needs_clarification"":false,""route"":""HINT_DECISION""}",,
20260920_210538,gpt_5_4_mini_test,gpt-5.4-mini-2026-03-17,224,boundary,HINT_DECISION,OK,stop,True,True,[],HINT_DECISION,1,HINT,HIGH,False,False,True,False,1,3,3,1,1,BASE_RULE_DEFAULT,BASE_RULE_DEFAULT,1,오버라이드 없음 → 기본 약한 힌트,1,weak,weak,1,1,0,CONTINUE,,0,HINT_DECISION,1,"[""get_puzzle_context"",""get_approved_hint""]","힌트 경로: 현재 퍼즐 + 승인 힌트, 필요한 경우에만 힌트 이력","[""get_puzzle_context"",""get_approved_hint""]",1,[],1,1,1803,1280,523,47,0,47,1850,0.0723,0,1132.7,"{""route"":""HINT_DECISION"",""intent"":""HINT"",""emotion"":""HIGH"",""needs_clarification"":false,""direct_answer_request"":false,""frustration_high"":true,""emotion_override_qualified"":false}","{""direct_answer_request"":false,""emotion"":""HIGH"",""emotion_override_qualified"":false,""frustration_high"":true,""intent"":""HINT"",""needs_clarification"":false,""route"":""HINT_DECISION""}",,
20260920_210538,gpt_5_4_mini_test,gpt-5.4-mini-2026-03-17,225,boundary,HINT_DECISION,OK,stop,True,True,[],ANSWER_EXPOSURE_BYPASS,0,HINT,HIGH,False,True,True,True,1,3,2,0,0,ANSWER_REQUEST,ANSWER_REQUEST,1,현재 문제 정답 직접 요구 → 승인된 강한 힌트 경로,1,strong,strong,1,1,0,CONTINUE,,0,ANSWER_EXPOSURE_BYPASS,0,"[""get_puzzle_context"",""get_approved_hint""]",현재 문제 직접 정답 요구는 승인 힌트 경로로 제한,"[""get_puzzle_context"",""get_approved_hint""]",1,[],1,0,1806,1280,526,50,0,50,1856,0.0769,0,1276.8,"{""route"":""ANSWER_EXPOSURE_BYPASS"",""intent"":""HINT"",""emotion"":""HIGH"",""needs_clarification"":false,""direct_answer_request"":true,""frustration_high"":true,""emotion_override_qualified"":true}","{""direct_answer_request"":true,""emotion"":""HIGH"",""emotion_override_qualified"":true,""frustration_high"":true,""intent"":""HINT"",""needs_clarification"":false,""route"":""ANSWER_EXPOSURE_BYPASS""}",,
20260920_210538,gpt_5_4_mini_test,gpt-5.4-mini-2026-03-17,231,boundary,EQUIPMENT_FAULT,OK,stop,True,True,[],EQUIPMENT_FAULT,1,EQUIPMENT_ISSUE,MEDIUM,True,False,False,False,1,3,3,1,1,NONE,NONE,1,힌트 강도 정책 비적용 route,1,,,0,1,0,CONTINUE,,0,EQUIPMENT_FAULT,1,"[""get_puzzle_context""]",원인 미확인: 먼저 현재 퍼즐 맥락만 확인,"[""get_puzzle_context""]",1,[],1,1,1802,1280,522,53,0,53,1855,0.0815,0,1089.72,"{""route"":""EQUIPMENT_FAULT"",""intent"":""EQUIPMENT_ISSUE"",""emotion"":""MEDIUM"",""needs_clarification"":true,""direct_answer_request"":false,""frustration_high"":false,""emotion_override_qualified"":false}","{""direct_answer_request"":false,""emotion"":""MEDIUM"",""emotion_override_qualified"":false,""frustration_high"":false,""intent"":""EQUIPMENT_ISSUE"",""needs_clarification"":true,""route"":""EQUIPMENT_FAULT""}",,
